Orthogroup	WB_id	WB_alias	seqname	N2	QX1410	NIC58
OG0000000	NA	NA	NA	NA	QX1410.1012, QX1410.1019, QX1410.10678, QX1410.10698, QX1410.10701, QX1410.10800, QX1410.10863, QX1410.10870, QX1410.10871, QX1410.10875, QX1410.11031, QX1410.11079, QX1410.11080, QX1410.11085, QX1410.11110, QX1410.11258, QX1410.11279, QX1410.11364, QX1410.11572, QX1410.11723, QX1410.11775, QX1410.12860, QX1410.12862, QX1410.12863, QX1410.12953, QX1410.13060, QX1410.13064, QX1410.13263, QX1410.13532, QX1410.13709, QX1410.13733, QX1410.13734, QX1410.13766, QX1410.13822, QX1410.14217, QX1410.14252, QX1410.14377, QX1410.14417, QX1410.14577, QX1410.14598, QX1410.14678, QX1410.14863, QX1410.14894, QX1410.15087, QX1410.15169, QX1410.15271, QX1410.15485, QX1410.15493, QX1410.15661, QX1410.15683, QX1410.15789, QX1410.15806, QX1410.15834, QX1410.1599, QX1410.16001, QX1410.16041, QX1410.16094, QX1410.16114, QX1410.1612, QX1410.16126, QX1410.16141, QX1410.16191, QX1410.16326, QX1410.16342, QX1410.16556, QX1410.16700, QX1410.16751, QX1410.168, QX1410.16812, QX1410.16858, QX1410.16967, QX1410.17032, QX1410.1707, QX1410.17083, QX1410.17099, QX1410.17137, QX1410.17169, QX1410.17194, QX1410.17301, QX1410.17354, QX1410.17412, QX1410.17414, QX1410.17621, QX1410.17642, QX1410.17660, QX1410.17693, QX1410.17751, QX1410.17759, QX1410.17901, QX1410.18155, QX1410.18196, QX1410.18208, QX1410.18217, QX1410.18223, QX1410.18351, QX1410.18403, QX1410.18483, QX1410.18532, QX1410.1857, QX1410.18604, QX1410.18607, QX1410.18611, QX1410.18670, QX1410.18688, QX1410.18699, QX1410.18716, QX1410.18742, QX1410.18769, QX1410.18770, QX1410.18777, QX1410.18804, QX1410.1904, QX1410.19109, QX1410.19126, QX1410.19136, QX1410.19158, QX1410.19184, QX1410.19249, QX1410.19267, QX1410.19270, QX1410.19272, QX1410.19315, QX1410.19325, QX1410.19373, QX1410.19374, QX1410.1945, QX1410.19454, QX1410.19469, QX1410.19502, QX1410.19505, QX1410.19513, QX1410.1953, QX1410.1956, QX1410.19603, QX1410.19623, QX1410.19638, QX1410.19696, QX1410.19757, QX1410.19780, QX1410.19797, QX1410.20040, QX1410.2032, QX1410.20378, QX1410.20384, QX1410.20532, QX1410.2057, QX1410.20584, QX1410.2079, QX1410.20985, QX1410.21363, QX1410.21417, QX1410.21424, QX1410.21436, QX1410.21445, QX1410.21597, QX1410.21605, QX1410.21658, QX1410.21698, QX1410.2180, QX1410.2184, QX1410.22109, QX1410.2391, QX1410.2471, QX1410.2676, QX1410.2702, QX1410.279, QX1410.3024, QX1410.3042, QX1410.3184, QX1410.3474, QX1410.3479, QX1410.352, QX1410.3543, QX1410.3674, QX1410.3685, QX1410.3805, QX1410.3822, QX1410.3827, QX1410.3828, QX1410.3834, QX1410.3978, QX1410.4009, QX1410.4100, QX1410.4116, QX1410.4142, QX1410.4143, QX1410.4183, QX1410.4194, QX1410.4207, QX1410.4330, QX1410.4428, QX1410.4764, QX1410.4805, QX1410.4823, QX1410.4951, QX1410.5139, QX1410.5140, QX1410.519, QX1410.5329, QX1410.5462, QX1410.5481, QX1410.5687, QX1410.5865, QX1410.5973, QX1410.6096, QX1410.6140, QX1410.6285, QX1410.6535, QX1410.6558, QX1410.6623, QX1410.6636, QX1410.6875, QX1410.6881, QX1410.7045, QX1410.7168, QX1410.7240, QX1410.7241, QX1410.7515, QX1410.7516, QX1410.761, QX1410.768, QX1410.7714, QX1410.7742, QX1410.7839, QX1410.8215, QX1410.8254, QX1410.8264, QX1410.8319, QX1410.8635, QX1410.8685, QX1410.874, QX1410.8851, QX1410.8974, QX1410.8976, QX1410.8991, QX1410.9086, QX1410.9087, QX1410.9097, QX1410.9104, QX1410.919, QX1410.9540, QX1410.9560, QX1410.989	NA
OG0000001	NA	NA	NA	NA	QX1410.10719, QX1410.10793, QX1410.10917, QX1410.11081, QX1410.11155, QX1410.11156, QX1410.11529, QX1410.12010, QX1410.1234, QX1410.1236, QX1410.13211, QX1410.1324, QX1410.13683, QX1410.13881, QX1410.14197, QX1410.14287, QX1410.14749, QX1410.14750, QX1410.1491, QX1410.15507, QX1410.15515, QX1410.15516, QX1410.1556, QX1410.15679, QX1410.15709, QX1410.16146, QX1410.16427, QX1410.16428, QX1410.1677, QX1410.16969, QX1410.1787, QX1410.18275, QX1410.18365, QX1410.18546, QX1410.18619, QX1410.18781, QX1410.18939, QX1410.19056, QX1410.19819, QX1410.19918, QX1410.20172, QX1410.20836, QX1410.21089, QX1410.21521, QX1410.21522, QX1410.21523, QX1410.21703, QX1410.21704, QX1410.2178, QX1410.2973, QX1410.3029, QX1410.3886, QX1410.3948, QX1410.4042, QX1410.4136, QX1410.4189, QX1410.419, QX1410.4293, QX1410.4328, QX1410.4449, QX1410.4450, QX1410.4459, QX1410.4521, QX1410.4713, QX1410.476, QX1410.4973, QX1410.506, QX1410.5160, QX1410.556, QX1410.6027, QX1410.6136, QX1410.7353, QX1410.7665, QX1410.7677, QX1410.7687, QX1410.7688, QX1410.7689, QX1410.813, QX1410.814, QX1410.8216, QX1410.8217, QX1410.8322, QX1410.8499, QX1410.8666, QX1410.8939, QX1410.8945, QX1410.901, QX1410.959, QX1410.960	NIC58.6858
OG0000002	WBGene00015118, WBGene00015885, WBGene00016521, WBGene00016522, WBGene00016525, WBGene00016527, WBGene00017225, WBGene00017226, WBGene00077492, WBGene00008616, WBGene00008618, WBGene00008633, WBGene00017962, WBGene00044672, WBGene00018684, WBGene00010018, WBGene00018803, WBGene00010360, WBGene00044759, WBGene00020363, WBGene00020448, WBGene00020456, WBGene00020457, WBGene00020449, WBGene00020450, WBGene00020451, WBGene00020452, WBGene00020453, WBGene00020454, WBGene00020455, WBGene00011752, WBGene00020637, WBGene00020638, WBGene00020639, WBGene00020640, WBGene00011983, WBGene00012027, WBGene00020883, WBGene00022476, WBGene00022477, WBGene00022478, WBGene00022479, WBGene00022495, WBGene00044675, WBGene00022482, WBGene00022484, WBGene00022485, WBGene00022486, WBGene00022487, WBGene00021264, WBGene00021256, WBGene00021262, WBGene00012923, WBGene00044676, WBGene00021864, WBGene00021865, WBGene00044403, WBGene00206486, WBGene00021859, WBGene00021860, WBGene00021862, WBGene00021987, WBGene00013454, WBGene00022326, WBGene00022327, WBGene00022329, WBGene00022330, WBGene00022331, WBGene00022333, WBGene00044402, WBGene00194735, WBGene00022321, WBGene00022324, WBGene00022325, WBGene00022345, WBGene00013844, WBGene00013845, WBGene00013836, WBGene00013837, WBGene00013838, WBGene00013839, WBGene00013840, WBGene00008352, WBGene00305997	B0294.3, fbxa-65, fbxa-62, fbxa-38, fbxa-12, fbxa-47, fbxa-52, fbxa-53, F09C6.15, fbxa-44, fbxa-45, fbxa-18, fbxa-72, fbxa-4, fbxa-41, fbxa-69, fbxa-24, fbxa-96, T06E6.15, fbxa-3, fbxa-51, fbxa-60, fbxa-67, fbxa-54, fbxa-10, fbxa-11, fbxa-22, fbxa-55, fbxa-56, fbxa-59, fbxa-2, fbxa-7, fbxa-43, fbxa-71, fbxa-73, fbxa-81, fbxa-127, fbxa-64, fbxa-75, fbxa-28, fbxa-35, fbxa-36, fbxa-78, fbxa-76, fbxa-208, fbxa-77, fbxa-63, fbxa-61, fbxa-21, fbxa-13, Y22D7AR.2, fbxa-74, fbxa-128, fbxa-42, fbxa-1, fbxa-66, fbxa-219, Y54F10BM.20, fbxa-39, fbxa-9, fbxa-48, fbxa-40, fbxa-126, fbxa-14, fbxa-15, fbxa-79, fbxa-80, fbxa-19, fbxa-27, Y82E9BL.18, Y82E9BL.19, fbxa-25, fbxa-26, fbxa-5, fbxa-138, fbxa-50, fbxa-37, fbxa-29, fbxa-30, fbxa-31, fbxa-32, fbxa-151, fbxa-6, cTel54X.2	B0294.3, C17B7.11, C39B5.3, C39B5.4, C39B5.7, C39B5.9, F07G6.6, F07G6.7, F09C6.15, F09C6.2, F09C6.6, F10A3.3, F31F4.15, F42G2.8, F52D2.1, F54B8.3, F54D10.2, H03G16.4, T06E6.15, T08E11.7, T12B5.1, T12B5.10, T12B5.11, T12B5.2, T12B5.3, T12B5.4, T12B5.5, T12B5.6, T12B5.7, T12B5.8, T13F3.5, T20H9.1, T20H9.2, T20H9.3, T20H9.4, T24C2.4, T25E12.12, T28A11.21, Y119D3A.1, Y119D3A.2, Y119D3A.3, Y119D3A.4, Y119D3B.19, Y119D3B.22, Y119D3B.4, Y119D3B.6, Y119D3B.7, Y119D3B.8, Y119D3B.9, Y22D7AR.11, Y22D7AR.2, Y22D7AR.9, Y47D3A.2, Y54F10BL.1, Y54F10BM.10, Y54F10BM.11, Y54F10BM.15, Y54F10BM.20, Y54F10BM.4, Y54F10BM.5, Y54F10BM.7, Y59E1A.1, Y67A10A.5, Y82E9BL.10, Y82E9BL.11, Y82E9BL.13, Y82E9BL.14, Y82E9BL.15, Y82E9BL.17, Y82E9BL.18, Y82E9BL.19, Y82E9BL.4, Y82E9BL.7, Y82E9BL.8, Y82E9BR.12, ZC47.13, ZC47.14, ZC47.3, ZC47.4, ZC47.5, ZC47.6, ZC47.7, cTel54X.1, cTel54X.2	B0294.3.1, C17B7.11.1, C39B5.3.1, C39B5.4.1, C39B5.7.1, C39B5.9.1, F07G6.6.1, F07G6.7.1, F09C6.15.1, F09C6.2.1, F09C6.6.1, F10A3.3.1, F31F4.15a.1, F42G2.8.1, F52D2.1.1, F54B8.3.1, F54D10.2.1, H03G16.4.1, T06E6.15.1, T08E11.7.1, T12B5.1.1, T12B5.10.1, T12B5.11.1, T12B5.2.1, T12B5.3.2, T12B5.4.1, T12B5.5.1, T12B5.6b.1, T12B5.7.1, T12B5.8.1, T13F3.5.1, T20H9.1.1, T20H9.2.1, T20H9.3.1, T20H9.4.1, T24C2.4.1, T25E12.12.1, T28A11.21.1, Y119D3A.1.1, Y119D3A.2.1, Y119D3A.3.1, Y119D3A.4.1, Y119D3B.19.1, Y119D3B.22.1, Y119D3B.4.1, Y119D3B.6.1, Y119D3B.7.1, Y119D3B.8.1, Y119D3B.9.1, Y22D7AR.11.2, Y22D7AR.2.1, Y22D7AR.9.1, Y47D3A.2.2, Y54F10BL.1.1, Y54F10BM.10.1, Y54F10BM.11.2, Y54F10BM.15.1, Y54F10BM.20.1, Y54F10BM.4.1, Y54F10BM.5.1, Y54F10BM.7.1, Y59E1A.1.1, Y67A10A.5.1, Y82E9BL.10.1, Y82E9BL.11.1, Y82E9BL.13.1, Y82E9BL.14.1, Y82E9BL.15.1, Y82E9BL.17.1, Y82E9BL.18.1, Y82E9BL.19.1, Y82E9BL.4.1, Y82E9BL.7.1, Y82E9BL.8.1, Y82E9BR.12.1, ZC47.13a.1, ZC47.14.1, ZC47.3.2, ZC47.4.1, ZC47.5.1, ZC47.6.1, ZC47.7.1, cTel54X.1.1, cTel54X.2.1	QX1410.4509, QX1410.530	NA
OG0000003	WBGene00007166, WBGene00007162, WBGene00007163, WBGene00007164, WBGene00015229, WBGene00015362, WBGene00015602, WBGene00015604, WBGene00015598, WBGene00015599, WBGene00015600, WBGene00015601, WBGene00007453, WBGene00007716, WBGene00007837, WBGene00045289, WBGene00016486, WBGene00008009, WBGene00008014, WBGene00008015, WBGene00008017, WBGene00008612, WBGene00045507, WBGene00008632, WBGene00008826, WBGene00009296, WBGene00009427, WBGene00009490, WBGene00044659, WBGene00044661, WBGene00009709, WBGene00018439, WBGene00009836, WBGene00009839, WBGene00009840, WBGene00018939, WBGene00045506, WBGene00010212, WBGene00010534, WBGene00044202, WBGene00044655, WBGene00011513, WBGene00011542, WBGene00011670, WBGene00012246, WBGene00013610, WBGene00013623, WBGene00012533, WBGene00044758, WBGene00219210, WBGene00012565, WBGene00012566, WBGene00012567, WBGene00012574, WBGene00021390, WBGene00012879, WBGene00012953, WBGene00012955, WBGene00044654, WBGene00013453, WBGene00022217, WBGene00045295, WBGene00013567, WBGene00013555, WBGene00021179, WBGene00021178, WBGene00022890	fbxa-152, fbxa-153, fbxa-154, fbxa-139, fbxa-125, fbxa-105, fbxa-158, fbxa-160, fbxa-163, fbxa-164, fbxa-165, fbxa-166, fbxa-98, fbxa-82, fbxa-167, fbxa-169, fbxa-170, fbxa-171, fbxa-172, fbxa-174, fbxa-176, fbxa-103, F10A3.17, fbxa-88, fbxa-100, F31E9.3, fbxa-181, fbxa-99, fbxa-142, fbxa-143, fbxa-144, fbxa-184, fbxa-185, fbxa-188, fbxa-189, fbxa-190, F57G4.10, fbxa-192, fbxa-102, K10G4.10, fbxa-194, fbxa-197, fbxa-104, fbxa-84, fbxa-131, fbxa-206, fbxa-90, fbxa-209, Y37H2A.12, Y37H2A.18, fbxa-210, fbxa-211, Y37H2A.7, fbxa-213, fbxa-214, fbxa-215, fbxa-216, Y47H9C.12, fbxa-85, fbxa-83, fbxa-221, fbxa-222, Y75B12B.1, fbxa-89, fbxa-86, Y9C9A.8, fbxa-224	B0391.11, B0391.5, B0391.6, B0391.9, B0511.3, C02H6.2, C08E3.10, C08E3.12, C08E3.6, C08E3.7, C08E3.8, C08E3.9, C08F11.5, C25D7.4, C31C9.3, C31C9.8, C36C9.3, C38D9.1, C38D9.6, C38D9.7, C38D9.9, F09C3.4, F10A3.17, F10A3.2, F14H3.7, F31E9.3, F35E12.3, F36G9.14, F44G3.12, F44G3.14, F44G3.8, F45C12.8, F47H4.4, F47H4.8, F47H4.9, F56C3.2, F57G4.10, F57G4.8, K03D7.7, K10G4.10, M162.11, T06C12.4, T06E6.13, T09F5.11, W04E12.1, Y102A5C.1, Y102A5C.19, Y36E3A.1, Y37H2A.12, Y37H2A.18, Y37H2A.5, Y37H2A.6, Y37H2A.7, Y37H2C.3, Y38A10A.4, Y45F10C.3, Y47H9C.10, Y47H9C.12, Y61B8A.4, Y67A10A.4, Y73B3A.15, Y73B3A.22, Y75B12B.1, Y75B8A.21, Y9C9A.12, Y9C9A.8, ZK1290.9	B0391.11a.1, B0391.5.1, B0391.6.1, B0391.9.1, B0511.3.1, C02H6.2.1, C08E3.10a.1, C08E3.12.1, C08E3.6.1, C08E3.7.1, C08E3.8.1, C08E3.9.1, C08F11.5a.1, C25D7.4a.1, C31C9.3.1, C31C9.8.1, C36C9.3.1, C38D9.1.1, C38D9.6.1, C38D9.7.1, C38D9.9.1, F09C3.4.1, F10A3.17.1, F10A3.2.1, F14H3.7.1, F31E9.3.1, F35E12.3.1, F36G9.14.1, F44G3.12.1, F44G3.14.1, F44G3.8b.1, F45C12.8.1, F47H4.4.1, F47H4.8.1, F47H4.9.1, F56C3.2.1, F57G4.10.1, F57G4.8.1, K03D7.7.1, K10G4.10.1, M162.11.1, T06C12.4.1, T06E6.13.1, T09F5.11.1, W04E12.1.1, Y102A5C.1.1, Y102A5C.19.1, Y36E3A.1.1, Y37H2A.12a.1, Y37H2A.18.1, Y37H2A.5b.1, Y37H2A.6.1, Y37H2A.7.1, Y37H2C.3.1, Y38A10A.4.1, Y45F10C.3.1, Y47H9C.10.1, Y47H9C.12.1, Y61B8A.4.1, Y67A10A.4.2, Y73B3A.15.1, Y73B3A.22.1, Y75B12B.1b.1, Y75B8A.21.1, Y9C9A.12.1, Y9C9A.8.1, ZK1290.9.1	NA	NA
OG0000004	NA	NA	NA	NA	QX1410.10762, QX1410.11050, QX1410.11621, QX1410.12457, QX1410.12724, QX1410.12726, QX1410.13227, QX1410.13699, QX1410.16027, QX1410.16039, QX1410.16148, QX1410.16170, QX1410.16249, QX1410.16504, QX1410.16597, QX1410.16618, QX1410.16890, QX1410.16976, QX1410.17014, QX1410.17180, QX1410.17202, QX1410.17204, QX1410.17229, QX1410.17405, QX1410.17410, QX1410.17449, QX1410.17478, QX1410.17653, QX1410.17764, QX1410.17786, QX1410.17804, QX1410.19197, QX1410.19411, QX1410.19573, QX1410.19588, QX1410.19999, QX1410.21285, QX1410.21586, QX1410.2308, QX1410.3451, QX1410.3802, QX1410.3944, QX1410.4170, QX1410.4281, QX1410.4336, QX1410.4474, QX1410.5668, QX1410.5823, QX1410.7163, QX1410.7477, QX1410.833, QX1410.9226, QX1410.9250, QX1410.9280, QX1410.9335, QX1410.9649	NA
OG0000005	WBGene00015830, WBGene00016345, WBGene00016349, WBGene00016359, WBGene00043996, WBGene00016880, WBGene00016885, WBGene00016886, WBGene00017116, WBGene00017207, WBGene00017253, WBGene00017254, WBGene00305110, WBGene00017249, WBGene00017251, WBGene00017252, WBGene00008611, WBGene00008613, WBGene00008847, WBGene00017486, WBGene00017911, WBGene00017912, WBGene00018236, WBGene00009861, WBGene00009862, WBGene00086555, WBGene00018746, WBGene00010352, WBGene00019243, WBGene00045283, WBGene00019788, WBGene00019791, WBGene00011127, WBGene00019956, WBGene00019952, WBGene00011267, WBGene00020170, WBGene00020541, WBGene00020542, WBGene00020543, WBGene00020544, WBGene00020979, WBGene00021199, WBGene00021204, WBGene00012492, WBGene00044066, WBGene00021505, WBGene00021716, WBGene00021719, WBGene00013403, WBGene00013404, WBGene00013408, WBGene00021174, WBGene00014149	fbxb-98, C33E10.1, C33E10.8, fbxb-88, fbxb-87, fbxb-95, fbxb-97, fbxb-96, fbxb-78, fbxb-6, sdz-9, fbxb-111, F08D12.15, fbxb-108, fbxb-105, sdz-10, fbxb-68, fbxb-69, fbxb-102, F15E6.5, fbxb-106, fbxb-107, fbxb-71, fbxb-8, fbxb-67, F49B2.7, fbxb-103, fbxb-76, fbxb-72, K08E4.8, M116.1, sdz-25, fbxb-79, fbxb-75, fbxb-74, fbxb-85, T02G5.14, fbxb-81, fbxb-82, fbxb-83, fbxb-84, fbxb-55, Y17G9B.2, fbxb-77, fbxb-7, fbxb-66, Y41D4A.3, fbxb-112, fbxb-104, fbxb-100, fbxb-101, fbxb-93, fbxb-99, fbxb-70	C16C4.6, C33E10.1, C33E10.8, C33F10.13, C44B9.6, C52E2.1, C52E2.6, C52E2.7, E04A4.1, F07E5.1, F08D12.10, F08D12.11, F08D12.15, F08D12.6, F08D12.8, F08D12.9, F09C3.3, F09C3.5, F15A4.13, F15E6.5, F29A7.1, F29A7.2, F40F4.1, F49B2.1, F49B2.2, F49B2.7, F53C3.2, H02I12.2, H24O09.2, K08E4.8, M116.1, M116.4, R07H5.7, R08C7.13, R08C7.9, R17.1, T02G5.14, T17A3.3, T17A3.4, T17A3.6, T17A3.7, W03D2.2, Y17G9B.2, Y17G9B.7, Y20C6A.2, Y40B1B.3, Y41D4A.3, Y49F6B.3, Y49F6B.7, Y63D3A.2, Y63D3A.3, Y63D3A.9, Y8A9A.5, ZK909.5	C16C4.6.1, C33E10.1.1, C33E10.8.1, C33F10.13.1, C44B9.6.1, C52E2.1.1, C52E2.6.1, C52E2.7.1, E04A4.1.1, F07E5.1.1, F08D12.10.1, F08D12.11.1, F08D12.15.1, F08D12.6.1, F08D12.8.1, F08D12.9.1, F09C3.3.1, F09C3.5.1, F15A4.13.1, F15E6.5.1, F29A7.1a.1, F29A7.2.1, F40F4.1.1, F49B2.1.1, F49B2.2.1, F49B2.7.1, F53C3.2.1, H02I12.2.1, H24O09.2.1, K08E4.8.1, M116.1.1, M116.4.1, R07H5.7.1, R08C7.13.1, R08C7.9.1, R17.1.1, T02G5.14.1, T17A3.3.1, T17A3.4.1, T17A3.6.1, T17A3.7.1, W03D2.2.1, Y17G9B.2.1, Y17G9B.7a.1, Y20C6A.2.1, Y40B1B.3.1, Y41D4A.3.1, Y49F6B.3.1, Y49F6B.7.1, Y63D3A.2.1, Y63D3A.3.1, Y63D3A.9a.1, Y8A9A.5.1, ZK909.5.1	QX1410.11685	NA
OG0000006	NA	NA	NA	NA	QX1410.10829, QX1410.10881, QX1410.10886, QX1410.10887, QX1410.12180, QX1410.12181, QX1410.12183, QX1410.12184, QX1410.12185, QX1410.12501, QX1410.12502, QX1410.12531, QX1410.14266, QX1410.16065, QX1410.17191, QX1410.17253, QX1410.17685, QX1410.17686, QX1410.17687, QX1410.17688, QX1410.19860, QX1410.19869, QX1410.19969, QX1410.20199, QX1410.20516, QX1410.5183, QX1410.5217, QX1410.5264, QX1410.5266, QX1410.5336, QX1410.5337, QX1410.5338, QX1410.5348, QX1410.5349, QX1410.5350, QX1410.5355, QX1410.5363, QX1410.5388, QX1410.5390, QX1410.5414, QX1410.5415, QX1410.5416, QX1410.5419, QX1410.5423, QX1410.5426, QX1410.5463, QX1410.6225, QX1410.6237, QX1410.7169, QX1410.7170, QX1410.8572, QX1410.8662, QX1410.9768	NA
OG0000007	NA	NA	NA	NA	QX1410.21753, QX1410.4505	NIC58.10293, NIC58.10319, NIC58.10320, NIC58.10321, NIC58.10322, NIC58.10323, NIC58.10324, NIC58.10325, NIC58.10326, NIC58.10327, NIC58.10329, NIC58.10330, NIC58.10331, NIC58.10332, NIC58.10333, NIC58.10334, NIC58.10336, NIC58.10337, NIC58.10338, NIC58.10339, NIC58.10340, NIC58.10341, NIC58.10342, NIC58.10343, NIC58.10344, NIC58.10345, NIC58.10346, NIC58.10347, NIC58.10348, NIC58.10349, NIC58.10350, NIC58.10351, NIC58.10352, NIC58.10353, NIC58.10354, NIC58.10355, NIC58.10356, NIC58.10550, NIC58.10586, NIC58.11121, NIC58.14019, NIC58.14022, NIC58.14023, NIC58.16648, NIC58.19331, NIC58.19412, NIC58.7177, NIC58.9402, NIC58.9565, NIC58.9705, NIC58.9706
OG0000008	NA	NA	NA	NA	QX1410.10054, QX1410.10167, QX1410.1075, QX1410.10770, QX1410.10842, QX1410.10878, QX1410.10882, QX1410.10974, QX1410.11012, QX1410.11187, QX1410.1132, QX1410.11343, QX1410.13085, QX1410.13936, QX1410.14527, QX1410.17548, QX1410.17752, QX1410.17962, QX1410.18791, QX1410.1897, QX1410.19121, QX1410.19208, QX1410.19435, QX1410.19507, QX1410.19508, QX1410.19560, QX1410.1964, QX1410.19718, QX1410.20387, QX1410.20490, QX1410.20493, QX1410.20494, QX1410.20496, QX1410.21547, QX1410.21691, QX1410.2335, QX1410.2337, QX1410.2943, QX1410.4047, QX1410.5312, QX1410.541, QX1410.5538, QX1410.5539, QX1410.7259, QX1410.776, QX1410.9229, QX1410.9541, QX1410.9834	NIC58.9264
OG0000009	NA	NA	NA	NA	QX1410.10725, QX1410.1080, QX1410.11570, QX1410.12983, QX1410.1357, QX1410.13888, QX1410.14647, QX1410.1474, QX1410.14748, QX1410.1502, QX1410.1562, QX1410.16015, QX1410.16113, QX1410.16182, QX1410.16222, QX1410.16301, QX1410.16302, QX1410.16550, QX1410.17175, QX1410.17329, QX1410.17492, QX1410.17635, QX1410.17762, QX1410.1795, QX1410.18439, QX1410.18536, QX1410.18718, QX1410.18719, QX1410.18934, QX1410.19113, QX1410.19400, QX1410.19619, QX1410.19749, QX1410.19827, QX1410.2068, QX1410.2069, QX1410.20708, QX1410.21368, QX1410.21566, QX1410.3993, QX1410.4210, QX1410.4308, QX1410.8384, QX1410.8664, QX1410.9727, QX1410.9755	NIC58.14057
